human,rat
EIF1AX,EIF1AX
EIF2S1,EIF2S1
EIF2B1,EIF2B1
EIF2S3,EIF2S3
EPHA2,EPHA2
EIF4A1,EIF4A1
EIF4A2,EIF4A2
EIF4B,EIF4B
EIF4E,EIF4E
EIF4EBP1,EIF4EBP1
EIF4EBP2,EIF4EBP2
EIF4G1,EIF4G1
EIF4G2,EIF4G2
EIF5,EIF5
EIF5A,EIF5A
CELA1,CELA1
ELANE,ELANE
ELAVL2,ELAVL2
ELAVL1,ELAVL1
ELAVL3,ELAVL3
ELAVL4,ELAVL4
ELF1,ELF1
ELF2,ELF2
ELF3,ELF3
ELF4,ELF4
ELF5,ELF5
ELK1,ELK1
ELK3,ELK3
ELK4,ELK4
ELN,ELN
EML1,EML1
EMD,EMD
MARK2,MARK2
EMP1,EMP1
EMP2,EMP2
EMP3,EMP3
ADGRE1,ADGRE1
EMX1,EMX1
CTTN,CTTN
EMX2,EMX2
EN1,EN1
EN2,EN2
ENDOG,ENDOG
ENG,ENG
ENO1,ENO1
ENO2,ENO2
ENO3,ENO3
ENPEP,ENPEP
ENSA,ENSA
SLC29A1,SLC29A1
EP300,EP300
EPAS1,EPAS1
EPB41,EPB41
EPB41L1,EPB41L1
EPB41L2,EPB41L2
EPB42,EPB42
DMTN,DMTN
STOM,STOM
EPHA1,EPHA1
EPHA3,EPHA3
EPHA4,EPHA4
EPHA5,EPHA5
EPHA7,EPHA7
EPHA8,EPHA8
EPHB1,EPHB1
EPHB2,EPHB2
EPHB3,EPHB3
EPHB4,EPHB4
EPHB6,EPHB6
EPHX1,EPHX1
EPHX2,EPHX2
STX2,STX2
CLN8,CLN8
EPO,EPO
EPOR,EPOR
EPRS1,EPRS1
EPS8,EPS8
EPS15,EPS15
NR2F6,NR2F6
ERBB2,ERBB2
ERBB3,ERBB3
ERBB4,ERBB4
ERCC1,ERCC1
ERCC2,ERCC2
EREG,EREG
EYA4,EYA4
ERCC3,ERCC3
ERCC4,ERCC4
ERCC5,ERCC5
ERCC6,ERCC6
ERF,ERF
ERG,ERG
ERH,ERH
ERN1,ERN1
FBL,FBL
ESD,ESD
ESR1,ESR1
ESR2,ESR2
ESRRA,ESRRA
ESRRB,ESRRB
ESRRG,ESRRG
ETF1,ETF1
ETFA,ETFA
ETFB,ETFB
ETFDH,ETFDH
ETS1,ETS1
ETS2,ETS2
ETV1,ETV1
ETV2,ETV2
ETV3,ETV3
ETV4,ETV4
ETV5,ETV5
ETV6,ETV6
EVC,EVC
MECOM,MECOM
EVI2A,EVI2A
EVI2B,EVI2B
EVPL,EVPL
EVX1,EVX1
EWSR1,EWSR1
EXT1,EXT1
EXT2,EXT2
EXTL1,EXTL1
EXTL2,EXTL2
EXTL3,EXTL3
EYA1,EYA1
EYA2,EYA2
EYA3,EYA3
EZH1,EZH1
EZH2,EZH2
F2,F2
F2R,F2R
F2RL1,F2RL1
F2RL2,F2RL2
F3,F3
F5,F5
F7,F7
F8,F8
F9,F9
F10,F10
F11,F11
F12,F12
F13A1,F13A1
F13B,F13B
FAAH,FAAH
FABP4,FABP4
FABP1,FABP1
FABP2,FABP2
FABP3,FABP3
FABP5,FABP5
FABP6,FABP6
FABP7,FABP7
FANCA,FANCA
FANCC,FANCC
FANCD2,FANCD2
FANCE,FANCE
ACSL1,ACSL1
ACSL3,ACSL3
ACSL4,ACSL4
FAH,FAH
PTK2B,PTK2B
BPTF,BPTF
FANCB,FANCB
FANCF,FANCF
FANCG,FANCG
FAP,FAP
FBLN1,FBLN1
FARSA,FARSA
FASN,FASN
FAT1,FAT1
FAT2,FAT2
FAU,FAU
FBLN2,FBLN2
FBN1,FBN1
FBN2,FBN2
EFEMP1,EFEMP1
FBP1,FBP1
FCAR,FCAR
FCER1A,FCER1A
MS4A2,MS4A2
FCER1G,FCER1G
FCER2,FCER2
FCGR1A,FCGR1A
FCGR2B,FCGR2B
FCGR3A,FCGR3A
FCGRT,FCGRT
FKTN,FKTN
FCN1,FCNB
FDFT1,FDFT1
FDPS,FDPS
FDX1,FDX1
FDXR,FDXR
FECH,FECH
FEN1,FEN1
GPC4,GPC4
FER,FER
FES,FES
FGA,FGA
FGB,FGB
FGD1,FGD1
FGF1,FGF1
FGF2,FGF2
FGF3,FGF3
FGF4,FGF4
FGF5,FGF5
FGF6,FGF6
FGF7,FGF7
FGF8,FGF8
FGF9,FGF9
FGF10,FGF10
FGF11,FGF11
FGF12,FGF12
FGF13,FGF13
FGF14,FGF14
FGFR1,FGFR1
FGFR3,FGFR3
GPC5,GPC5
FGFR2,FGFR2
FGFR4,FGFR4
FGG,FGG
FGL1,FGL1
FGR,FGR
FH,FH
FHIT,FHIT
FHL1,FHL1
FHL2,FHL2
FHL3,FHL3
VEGFD,VEGFD
FKBP1A,FKBP1A
FKBP1B,FKBP1B
FKBP2,FKBP2
FKBP3,FKBP3
FKBP4,FKBP4
FKBP5,FKBP5
FOXG1,FOXG1
FOXF1,FOXF1
FOXF2,FOXF2
FOXC1,FOXC1
FOXD1,FOXD1
FOXD4,FOXD4
FOXI1,FOXI1
FOXL1,FOXL1
FOXE3,FOXE3
FOXJ1,FOXJ1
FOXC2,FOXC2
FOXE1,FOXE1
FOXM1,FOXM1
FOXD2,FOXD2
FOXS1,FOXS1
FOXO1,FOXO1
FOXO3,FOXO3
FLG,FLG
FLI1,FLI1
FLII,FLII
MLANA,MLANA
FLNA,FLNA
FLNB,FLNB
FLNC,FLNC
FLOT2,FLOT2
FLT1,FLT1
FLT3,FLT3
FLT3LG,FLT3LG
FLT4,FLT4
FMO1,FMO1
FMO2,FMO2
FMO3,FMO3
FMO4,FMO4
FMO5,FMO5
FMOD,FMOD
FMR1,FMR1
AFF2,AFF2
FN1,FN1
FNTA,FNTA
FNTB,FNTB
FOLH1,FOLH1
FOLR1,FOLR1
FOLR2,FOLR2
FOS,FOS
FOSB,FOSB
FOSL2,FOSL2
FPGS,FPGS
FPR1,FPR1
FPR2,FPR2
FXN,FXN
FRK,FRK
MTOR,MTOR
FRG1,FRG1
FRZB,FRZB
FSHB,FSHB
CENPI,CENPI
FSHR,FSHR
NR5A2,NR5A2
FTH1,FTH1
FTL,FTL1
ADAM2,ADAM2
NR5A1,NR5A1
FUCA1,FUCA1
FUCA2,FUCA2
GAST,GAST
FUS,FUS
FUT1,FUT1
FUT2,FUT2
FUT4,FUT4
FUT6,FUT4-PS1
FUT7,FUT7
FUT8,FUT8
KDSR,KDSR
ACKR1,ACKR1
FYB1,FYB1
FYN,FYN
FZD2,FZD2
G6PC1,G6PC1
G6PD,G6PD
SLC37A4,SLC37A4
XRCC6,XRCC6
GAA,GAA
GAB1,GAB1
GABBR1,GABBR1
GABPA,GABPA
GABPB1,GABPB1
GABRA1,GABRA1
GABRA2,GABRA2
GABRA3,GABRA3
GABRA4,GABRA4
GABRA5,GABRA5
GABRA6,GABRA6
GABRB1,GABRB1
GABRB2,GABRB2
GABRB3,GABRB3
GABRD,GABRD
GABRE,GABRE
GABRG1,GABRG1
GABRG2,GABRG2
GABRG3,GABRG3
GABRP,GABRP
GABRR1,GABRR1
GABRR2,GABRR2
GAD1,GAD1
GAD2,GAD2
GAK,GAK
GALC,GALC
GALE,GALE
B4GALNT1,B4GALNT1
GALK1,GALK1
GALK2,GALK2
GALR1,GALR1
GALNS,GALNS
GALNT1,GALNT1
GALNT2,GALNT2
GALNT3,GALNT3
GALT,GALT
GAMT,GAMT
GANC,GANC
GAP43,GAP43
GAPDH,GAPDH
LRRC32,LRRC32
GARS1,GARS1
GART,GART
GAS1,GAS1
GAS2,GAS2
GAS6,GAS6
DRC4,DRC4
GATA1,GATA1
GATA2,GATA2
GATA3,GATA3
GATA4,GATA4
GATA6,GATA6
GATM,GATM
GBA1,GBA1
NIPSNAP2,NIPSNAP2
GBE1,GBE1
GBP1,GBP1-PS1
GBP2,GBP2
GBX1,GBX1
GBX2,GBX2
GC,GC
GCDH,GCDH
GCG,GCG
GCGR,GCGR
GCH1,GCH1
GCHFR,GCHFR
GCK,GCK
GCKR,GCKR
BLOC1S1,BLOC1S1
KAT2A,KAT2A
NR6A1,NR6A1
GCNT1,GCNT1
GCNT2,GCNT2
OPN1MW,OPN1MW
GCSH,GCSH
GDF1,GDF1
GDF2,GDF2
MSTN,MSTN
GDF9,GDF9
GDF10,GDF10
GDI1,GDI1
GDI2,GDI2
GDNF,GDNF
GEM,GEM
GFAP,GFAP
GFER,GFER
GFI1,GFI1
GFPT1,GFPT1
GFRA1,GFRA1
GFRA2,GFRA2
GFRA3,GFRA3
GGCX,GGCX
GGT1,GGT1
GGTA1,GGTA1
B4GALT1,B4GALT1
GGT7,GGT7
GGT5,GGT5
GH1,GH1
GHR,GHR
GHRH,GHRH
GHRHR,GHRHR
GHSR,GHSR
CBLIF,CBLIF
GIP,GIP
GIPR,GIPR
GJA1,GJA1
GJA3,GJA3
GJA4,GJA4
GJA5,GJA5
GJA8,GJA8
GJB1,GJB1
GJB2,GJB2
GJB3,GJB3
GJB5,GJB5
GK,GK
GK2,GK2
GLA,GLA
GPC3,GPC3
GLB1,GLB1
GCLC,GCLC
GCLM,GCLM
GLDC,GLDC
GLE1,GLE1
GLG1,GLG1
GLI1,GLI1
GLI2,GLI2
GLI3,GLI3
GLI4,GLI4
GLO1,GLO1
GLP1R,GLP1R
GLRA1,GLRA1
GLRA2,GLRA2
GLRB,GLRB
GLS,GLS
GLRX,GLRX
GLUD1,GLUD1
GLUL,GLUL
GM2A,GM2A
GMDS,GMDS
GMFB,GMFB
GML,GML
GMPR,GMPR
GNA11,GNA11
GNA12,GNA12
GNA15,GNA15
GNAI1,GNAI1
GNAI2,GNAI2
GNAI3,GNAI3
GNAL,GNAL
GNAO1,GNAO1
GNAQ,GNAQ
GNAS,GNAS
GNAT1,GNAT1
GNAT2,GNAT2
GNAZ,GNAZ
GNB1,GNB1
GNB2,GNB2
GNB3,GNB3
GNG3,GNG3
GNG4,GNG4
GNG5,GNG5
GNG7,GNG7
GNG10,GNG10
GNG11,GNG11
GNGT1,GNGT1
GNGT2,GNGT2
GNL1,GNL1
GNRH1,GNRH1
GNRHR,GNRHR
GNS,GNS
GOLGA1,GOLGA1
GOLGA2,GOLGA2
GOLGA3,GOLGA3
GOLGA4,GOLGA4
GOLGB1,GOLGB1
GOT1,GOT1
GOT2,GOT2
SFN,SFN
GP1BA,GP1BA
GP1BB,GP1BB
GP2,GP2
GP5,GP5
GP9,GP9
GPC1,GPC1
GPD1,GPD1
GPD2,GPD2
GPI,GPI
GPLD1,GPLD1
GPM6A,GPM6A
GPM6B,GPM6B
CMKLR2,CMKLR2
CCR10,CCR10
GPR3,GPR3
GPR4,GPR4
XCR1,XCR1
GPR6,GPR6
NPBWR1,NPBWR1
CXCR3,CXCR3
PRLHR,PRLHR
GPR12,GPR12
UTS2R,UTS2R
GPR15,GPR15
GPR17,GPR17
GPR18,GPR18
GPR19,GPR19
GPR20,GPR20
GPR21,GPR21
GPR22,GPR22
LPAR4,LPAR4
MCHR1,MCHR1
GPR25,GPR25
GPR26,GPR26
GPR27,GPR27
GPER1,GPER1
GPR31,GPR31
GPR32,GPR32
GPR34,GPR34
GPR35,GPR35
GPR37,GPR37
GPR39,GPR39
FFAR1,FFAR1
FFAR3,FFAR3
FFAR2,FFAR2
GRK4,GRK4
GRK5,GRK5
GRK6,GRK6
MKNK2,MKNK2
GPS1,GPS1
GPS2,GPS2
GPT,GPT
GPX1,GPX1
GPX2,GPX2
GPX3,GPX3
GPX4,GPX4
GPX5,GPX5
GPX7,GPX7
GRB2,GRB2
GRB7,GRB7
GRB10,GRB10
GRB14,GRB14
RAPGEF1,RAPGEF1
GRIA1,GRIA1
GRIA2,GRIA2
GRIA3,GRIA3
GRIA4,GRIA4
GRID1,GRID1
GRID2,GRID2
GRN,GRN
GRIK1,GRIK1
GRIK2,GRIK2
GRIK3,GRIK3
GRIK4,GRIK4
GRIK5,GRIK5
GRIN1,GRIN1
GRIN2A,GRIN2A
GRIN2B,GRIN2B
GRIN2C,GRIN2C
GRIN2D,GRIN2D
GRINA,GRINA
NR3C1,NR3C1
ARHGAP35,ARHGAP35
GRM1,GRM1
GRM2,GRM2
GRM3,GRM3
GRM4,GRM4
GRM5,GRM5
GRM6,GRM6
GRM7,GRM7
GRM8,GRM8
CXCL1,CXCL1
CXCL2,CXCL2
GRP,GRP
PDIA3,PDIA3
GRPR,GRPR
GRSF1,GRSF1
GSC2,GSC2
GSK3A,GSK3A
GSK3B,GSK3B
GSN,GSN
GSPT1,GSPT1
GSR,GSR
GSS,GSS
GSTA1,GSTA1
GSTA2,GSTA2
GSTA4,GSTA4
GSTM3,GSTM5
GSTM4,GSTM4
GSTP1,GSTP1
GSTT1,GSTT1
GSTZ1,GSTZ1
MSH6,MSH6
GTF2A1,GTF2A1
GTF2A2,GTF2A2
GTF2B,GTF2B
GTF2E1,GTF2E1
GTF2E2,GTF2E2
GTF2F1,GTF2F1
GTF2F2,GTF2F2
GTF2H1,GTF2H1
GTF2H2,GTF2H2
GTF2H3,GTF2H3
GTF2H4,GTF2H4
GTF2I,GTF2I
GTF3A,GTF3A
BRF1,BRF1
GTF3C1,GTF3C1
GTF3C2,GTF3C2
GUCY1A2,GUCY1A2
GUCA1A,GUCA1A
GUCA1B,GUCA1B
GUCA2A,GUCA2A
GUCA2B,GUCA2B
GUCY1A1,GUCY1A1
GUCY1B1,GUCY1B1
GUCY2C,GUCY2C
GUCY2F,GUCY2F
GUK1,GUK1
GUSB,GUSB
GYG1,GYG1
GYPA,GYPA
GYPC,GYPC
GYS1,GYS1
GYS2,GYS2
GUCY2D,GUCY2E
GZMA,GZMA
GZMB,GZMB
GZMK,GZMK
GZMM,GZMM
H1-0,H1F0
H1-2,H1F2
H1-4,H1F4
H1-5,H1F5
H1-6,H1F6
H2AX,H2AX
H2AZ1,H2AZ1
H3-3A,H3F3A
H3-3B,H3F3B
H1-1,H1F1
HABP2,HABP2
HSD17B10,HSD17B10
HAGH,HAGH
HADHA,HADHA
HADHB,HADHB
HADH,HADH
HAL,HAL
HARS1,HARS1
HAS1,HAS1
HAS2,HAS2
HAS3,HAS3
HBB,HBB-B1
HBQ1,HBQ1B
HBZ,HBZ
HCCS,HCCS
SERPIND1,SERPIND1
HCFC1,HCFC1
HCK,HCK
HCLS1,HCLS1
HCRT,HCRT
HCRTR1,HCRTR1
HCRTR2,HCRTR2
HTT,HTT
HDAC1,HDAC1
HDAC2,HDAC2
HDC,HDC
HDGF,HDGF
HDLBP,HDLBP
HELLS,HELLS
NCKAP1L,NCKAP1L
HEXA,HEXA
HEXB,HEXB
CFH,CFH
HFE,HFE
CFHR1,CFHR1
HGD,HGD
HGF,HGF
HGFAC,HGFAC
NRG1,NRG1
HHEX,HHEX
HIC1,HIC1
HIF1A,HIF1A
HIP1,HIP1
UBE2K,UBE2K
HINT1,HINT1
HIVEP1,HIVEP1
HIVEP2,HIVEP2
HK1,HK1
HK2,HK2
HK3,HK3
ZBTB48,ZBTB48
HLA-DMA,RT1-DMA
HLA-DMB,RT1-DMB
MNX1,MNX1
HLA-DOA,RT1-DOA
HLA-DOB,RT1-DOB
HLA-DPA1,RT1-HA
HLA-DRA,RT1-DA
HLF,HLF
MR1,MR1
HLCS,HLCS
HLX,HLX
HMBS,HMBS
HMGB1,HMGB1
HMGB2,HMGB2
HMGB3,HMGB3
HMGN1,HMGN1
HMGN2,HMGN2
HMGCL,HMGCL
HMGCR,HMGCR
HMGCS1,HMGCS1
HMGCS2,HMGCS2
HMGA1,HMGA1
HMMR,HMMR
HMOX1,HMOX1
HMOX2,HMOX2
NR4A1,NR4A1
HMX1,HMX1
HMX2,HMX2
FOXA1,FOXA1
FOXA2,FOXA2
FOXA3,FOXA3
HNF4A,HNF4A
HNF4G,HNF4G
ONECUT1,ONECUT1
HNMT,HNMT
SLC29A2,SLC29A2
HNRNPA1,HNRNPA1
HNRNPA2B1,HNRNPA2B1
HNRNPAB,HNRNPAB
HNRNPC,HNRNPC
HNRNPD,HNRNPD
HNRNPF,HNRNPF
HNRNPH1,HNRNPH1
HNRNPH2,HNRNPH2
HNRNPH3,HNRNPH3
HNRNPK,HNRNPK
HNRNPL,HNRNPL
HNRNPU,HNRNPU
TLX1,TLX1
TLX2,TLX2
HOXA1,HOXA1
HOXA2,HOXA2
HOXA3,HOXA3
HOXA4,HOXA4
HOXA5,HOXA5
HOXA6,HOXA6
HOXA7,HOXA7
HOXA9,HOXA9
HOXA10,HOXA10
HOXA11,HOXA11
HPCA,HPCA
HOXA13,HOXA13
HOXB1,HOXB1
HOXB2,HOXB2
HOXB3,HOXB3
HOXB4,HOXB4
HOXB5,HOXB5
HOXB6,HOXB6
HOXB7,HOXB7
HOXB8,HOXB8
HOXB9,HOXB9
HOXC4,HOXC4
HOXC5,HOXC5
HOXC6,HOXC6
HOXC8,HOXC8
HOXC9,HOXC9
HOXC10,HOXC10
HOXC11,HOXC11
HOXC12,HOXC12
HOXC13,HOXC13
HOXD1,HOXD1
HOXD3,HOXD3
HOXD4,HOXD4
HOXD8,HOXD8
HOXD9,HOXD9
HOXD10,HOXD10
HOXD11,HOXD11
HOXD12,HOXD12
HOXD13,HOXD13
HP,HP
HPCAL1,HPCAL1
HPD,HPD
HPGD,HPGD
HPN,HPN
HPRT1,HPRT1
HPS1,HPS1
HPX,HPX
HRAS,HRAS
ERAS,ERAS
AGFG1,AGFG1
AGFG2,AGFG2
HRH1,HRH1
HRC,HRC
HRG,HRG
HRH2,HRH2
PRMT2,PRMT2
PRMT1,PRMT1
HES1,HES1
HSBP1,HSBP1
HSD11B1,HSD11B1
HSD11B2,HSD11B2
HSD17B1,HSD17B1
HSD17B3,HSD17B3
HSD17B2,HSD17B2
HSD17B4,HSD17B4
HSF1,HSF1
HSF2,HSF2
HSF4,HSF4
DNAJB2,DNAJB2
DNAJA1,DNAJA1
HSPA1L,HSPA1L
HSPA2,HSPA2
HSPA4,HSPA4
HSPA5,HSPA5
HSPA8,HSPA8
HSPA9,HSPA9
HSPB1,HSPB1
HSPB2,HSPB2
HSP90AA1,HSP90AA1
IGSF3,IGSF3
HSP90AB1,HSP90AB1
HSPD1,HSPD1
HSPE1,HSPE1
DNAJB1,DNAJB1
DNAJC4,DNAJC4
HSPG2,HSPG2
NDST1,NDST1
FOXN2,FOXN2
HTR1A,HTR1A
HTR1B,HTR1B
HTR1D,HTR1D
HTR1F,HTR1F
HTR2A,HTR2A
HTR2B,HTR2B
HTR2C,HTR2C
HTR3A,HTR3A
HTR4,HTR4
HTR5A,HTR5A
HTR6,HTR6
HTR7,HTR7
HUS1,HUS1
TNC,TNC
HYAL1,HYAL1
IAPP,IAPP
IARS1,IARS1
IBSP,IBSP
ICA1,ICA1
ICAM1,ICAM1
ICAM2,ICAM2
ICAM4,ICAM4
IRF8,IRF8
MRPL58,MRPL58
ID1,ID1
ID2,ID2
ID3,ID3
ID4,ID4
IDE,IDE
IDH1,IDH1
IDH2,IDH2
IDH3A,IDH3A
IDH3B,IDH3B
IDH3G,IDH3G
IDS,IDS
IDUA,IDUA
CFI,CFI
IFI27,IFI27
IFI35,IFI35
SP110,SP110
IFIT2,IFIT2
IFIT3,IFIT3
IFNAR1,IFNAR1
IFNAR2,IFNAR2
IFNB1,IFNB1
IFNG,IFNG
IFNGR1,IFNGR1
IFNGR2,IFNGR2
IFRD1,IFRD1
IGBP1,IGBP1
IGF1,IGF1
IGF1R,IGF1R
IGF2,IGF2
IGF2R,IGF2R
IGFALS,IGFALS
IGFBP1,IGFBP1
IGFBP2,IGFBP2
IGFBP3,IGFBP3
IGFBP4,IGFBP4
IGFBP5,IGFBP5
IGFBP6,IGFBP6
IGFBP7,IGFBP7
CCN1,CCN1
IGHMBP2,IGHMBP2
JCHAIN,JCHAIN
RBPJ,RBPJ
IGLL1,IGLL1
IGSF1,IGSF1
IHH,IHH
IK,IK
IKBKB,IKBKB
IL1A,IL1A
IL1B,IL1B
IL1R1,IL1R1
IL1RAP,IL1RAP
IL1RN,IL1RN
IL2,IL2
IL2RA,IL2RA
IL2RB,IL2RB
IL2RG,IL2RG
IL3,IL3
IL3RA,IL3RA
IL4,IL4
IL4R,IL4R
IL5,IL5
IL5RA,IL5RA
IL6,IL6
IL6R,IL6R
IL6ST,IL6ST
IL7,IL7
IL7R,IL7R
CXCR1,CXCR1
IL9,IL9
CXCR2,CXCR2
IL9R,IL9R
IL10,IL10
IL10RA,IL10RA
IL10RB,IL10RB
IL11,IL11
IL11RA,IL11RA1
IL12A,IL12A
IL12B,IL12B
IL12RB1,IL12RB1
IL12RB2,IL12RB2
IL13,IL13
IL13RA1,IL13RA1
IL13RA2,IL13RA2
IL15,IL15
IL15RA,IL15RA
IL16,IL16
TNFRSF9,TNFRSF9
IL17A,IL17A
IL18,IL18
FOXK2,FOXK2
ILF2,ILF2
ILF3,ILF3
ILK,ILK
IMPA1,IMPA1
IMPA2,IMPA2
IMPDH1,IMPDH1
IMPDH2,IMPDH2
IMPG1,IMPG1
INCENP,INCENP
IDO1,IDO1
ING1,ING1
ING2,ING2
INHA,INHA
INHBA,INHBA
INHBB,INHBB
INHBC,INHBC
CXCL10,CXCL10
INPP1,INPP1
INS,INS2
INPP4A,INPP4A
INPP5A,INPP5A
INPP5B,INPP5B
INPP5D,INPP5D
INPPL1,INPPL1
INSIG1,INSIG1
INSL3,INSL3
INSM1,INSM1
INSR,INSR
INSRR,INSRR
EIF3E,EIF3E
PDX1,PDX1
IPP,IPP
IRAK1,IRAK1
ITGA6,ITGA6
IRAK2,IRAK2
IREB2,IREB2
IRF1,IRF1
IRF2,IRF2
IRF3,IRF3
IRF4,IRF4
IRF5,IRF5
IRF6,IRF6
IRF7,IRF7
IRS1,IRS1
ISG20,ISG20
ISL1,ISL1
ISLR,ISLR
ITGA1,ITGA1
ITGA2,ITGA2
ITGA2B,ITGA2B
ITGA3,ITGA3
ITGA4,ITGA4
ITGA5,ITGA5
ITGA7,ITGA7
ITGA9,ITGA9
ITGAD,ITGAD
ITGAE,ITGAE
ITGAL,ITGAL
ITGAM,ITGAM
ITGAV,ITGAV
ITGAX,ITGAX
ITGB1,ITGB1
ITGB2,ITGB2
ITGB3,ITGB3
ITGB4,ITGB4
EIF6,EIF6
ITGB5,ITGB5
ITGB6,ITGB6
ITGB7,ITGB7
ITGB8,ITGB8
ITIH1,ITIH1
ITIH2,ITIH2
ITIH3,ITIH3
ITIH4,ITIH4
ITK,ITK
STT3A,STT3A
ITPA,ITPA
ITPK1,ITPK1
ITPKA,ITPKA
ITPKB,ITPKB
ITPR1,ITPR1
ITPR2,ITPR2
ITPR3,ITPR3
IVD,IVD
IVL,IVL
JAG2,JAG2
JAK1,JAK1
JAK2,JAK2
JAK3,JAK3
JARID2,JARID2
JUN,JUN
JUNB,JUNB
JUND,JUND
JUP,JUP
CD82,CD82
KARS1,KARS1
KCNA1,KCNA1
KCNA2,KCNA2
KCNA3,KCNA3
KCNA4,KCNA4
KCNA5,KCNA5
KCNA6,KCNA6
KCNA7,KCNA7
KCNA10,KCNA10
KCNB1,KCNB1
KCNC1,KCNC1
KCNC2,KCNC2
KCNC3,KCNC3
KCNC4,KCNC4
KCND1,KCND1
KCND2,KCND2
KCND3,KCND3
KCNE1,KCNE1
KCNF1,KCNF1
KCNG1,KCNG1
KCNH1,KCNH1
KCNH2,KCNH2
KCNJ1,KCNJ1
KCNJ2,KCNJ2
KCNJ3,KCNJ3
KCNJ4,KCNJ4
KCNJ5,KCNJ5
KCNJ6,KCNJ6
KCNJ8,KCNJ8
KCNJ9,KCNJ9
KCNJ10,KCNJ10
KCNJ11,KCNJ11
KCNJ12,KCNJ12
KCNJ13,KCNJ13
KCNJ14,KCNJ14
KCNJ15,KCNJ15
KCNJ16,KCNJ16
KCNK1,KCNK1
KCNK2,KCNK2
KCNK3,KCNK3
KCNMA1,KCNMA1
KCNMB1,KCNMB1
KCNN1,KCNN1
KCNN2,KCNN2
KCNN3,KCNN3
KCNN4,KCNN4
KCNQ1,KCNQ1
KCNQ2,KCNQ2
KCNQ3,KCNQ3
KCNS1,KCNS1
KCNS2,KCNS2
KCNS3,KCNS3
KDR,KDR
KEL,KEL
KHK,KHK
KIF2A,KIF2A
KIF3C,KIF3C
KIF5A,KIF5A
KIF5B,KIF5B
KIF5C,KIF5C
KIFC3,KIFC3
KISS1,KISS1
KIT,KIT
KLK1,KLK1
KLKB1,KLKB1
KLRB1,KLRB1
KLRC1,KLRC1
KLRC2,KLRI1
KLRC3,KLRC3
KLRD1,KLRD1
KNG1,KNG1
KLC1,KLC1
KIF11,KIF11
KIFC1,KIFC1
KIF22,KIF22
KPNA1,KPNA1
KPNB1,KPNB1
KPNA2,KPNA2
KPNA3,KPNA3
KPNA4,KPNA4
KPNA5,KPNA5
TNPO1,TNPO1
IPO5,IPO5
KRAS,KRAS
KRT1,KRT1
KRT2,KRT2
KRT4,KRT4
KRT5,KRT5
KRT7,KRT7
KRT8,KRT8
KRT9,KRT9
KRT10,KRT10
KRT12,KRT12
KRT13,KRT13
KRT15,KRT15
KRT16,KRT16
KRT17,KRT17
KRT18,KRT18
KRT19,KRT19
KRT34,KRT34
KRT35,KRT35
KRT81,KRT81
KRT82,KRT82
KRT84,KRT84
KRT85,KRT85
KRT86,KRT86
KTN1,KTN1
L1CAM,L1CAM
LAD1,LAD1
AFF3,AFF3
LAG3,LAG3
LAIR1,LAIR1
LALBA,LALBA
LAMA2,LAMA2
LAMA3,LAMA3
LAMA4,LAMA4
LAMA5,LAMA5
LAMB1,LAMB1
LAMB2,LAMB2
LAMB3,LAMB3
LAMC1,LAMC1
LAMP1,LAMP1
LAMC2,LAMC2
LAMP2,LAMP2
RPSA,RPSA
STMN1,STMN1
LASP1,LASP1
LBP,LBP
LBR,LBR
LCAT,LCAT
LCK,LCK
LCN2,LCN2
LCP1,LCP1
LCP2,LCP2
LCT,LCT
LDHA,LDHA
LDHB,LDHB
LDHC,LDHC
LDLR,LDLR
LECT2,LECT2
LEP,LEP
LEPR,LEPR
LETM1,LETM1
LFNG,LFNG
LGALS1,LGALS1
LGALS2,LGALS2
LGALS3,LGALS3
LGALS3BP,LGALS3BP
LGALS4,LGALS4
LGALS7,LGALS7
LGALS8,LGALS8
LGALS9,LGALS9
LHB,LHB
LHCGR,LHCGR
LHX1,LHX1
LIF,LIF
LIFR,LIFR
LIG1,LIG1
LIG3,LIG3
LIG4,LIG4
LIM2,LIM2
ABLIM1,ABLIM1
LIMK1,LIMK1
LIMK2,LIMK2
LIMS1,LIMS1
LIPA,LIPA
LIPC,LIPC
LIPE,LIPE
FADS1,FADS1
LLGL2,LLGL2
FADS3,FADS3
LLGL1,LLGL1
LMAN1,LMAN1
LMNA,LMNA
LMNB1,LMNB1
LMO1,LMO1
LMO2,LMO2
PRICKLE3,PRICKLE3
LMO7,LMO7
LMX1A,LMX1A
LMX1B,LMX1B
LNPEP,LNPEP
VWA5A,VWA5A
LORICRIN,LORICRIN
LOX,LOX
LOXL1,LOXL1
LOXL2,LOXL2
LPL,LPL
LPO,LPO
LPP,LPP
IRAG2,IRAG2
LRCH4,LRCH4
LRP1,LRP1
LRP2,LRP2
LRP3,LRP3
LRP4,LRP4
LRP6,LRP6
LRP5,LRP5
LRPAP1,LRPAP1
LSAMP,LSAMP
LSP1,LSP1
LSS,LSS
LTA4H,LTA4H
LTA,LTA
LTB,LTB
LTBP1,LTBP1
LTBP2,LTBP2
LTBP3,LTBP3
LTBR,LTBR
LTC4S,LTC4S
LTF,LTF
LTK,LTK
BCAM,BCAM
LUM,LUM
LY6E,LY6E
LY6H,LY6H
LY9,LY9
CD180,CD180
LY75,LY75
LYL1,LYL1
LYN,LYN
SH2D1A,SH2D1A
TACSTD2,TACSTD2
